candidato,creado,fav,rt,texto
Guillermo_Lasso,01/21/2017,127.0,76.0,Terminamos la jornada de hoy viernes en una caminata en el sector Guasmo Sur en Guayaquil #VamosPorElCambio https://t.co/PA6AOdfNS7
Guillermo_Lasso,01/21/2017,78.0,45.0,Pero les hice la promesa no los vamos a defraudar. Ellos quieren un CAMBIO por su futuro por sus hijos y familia https://t.co/ImyNFt1Phw
Guillermo_Lasso,01/21/2017,115.0,110.0,Hoy por la tarde visitamos la familia Pilcorema que nos recibio amablemente en su hogar. Tres miembros de esta fami https://t.co/8J9D3Kp6wv
Guillermo_Lasso,01/20/2017,179.0,152.0,En nuestro Gobierno devolveremos los colegios militares y navales a las Fuerzas Armadas ecuatorianas. https://t.co/9nEteysiTj
Guillermo_Lasso,01/20/2017,142.0,123.0,Fortaleceremos la institucionalidad de las Fuerzas Armadas y en nuestro Gobierno el Ministro de Defensa sera un ofi https://t.co/CNCZyEclz6
Guillermo_Lasso,01/20/2017,72.0,61.0,Muchas gracias por las palabras del Coronel Milton Munoz al Contralmirante Allan Molestina y a su senora y al Co https://t.co/06SIbDDxo9
Guillermo_Lasso,01/20/2017,76.0,50.0,Empezamos el evento 'Acuerdo Nacional por la Familia Militar Ecuatoriana'. #VamosPorElCambio https://t.co/17jFgiViEe
Guillermo_Lasso,01/19/2017,286.0,236.0,Vamos a eliminar 14 impuestos para reactivar la economia del pais y generar #1MillonDeEmpleos en 4 anos de Gobierno https://t.co/6og9TUtyfK
Guillermo_Lasso,01/19/2017,165.0,109.0,Gracias por el carinoso recibimiento que tuvimos en las calles de Ibarra. En Ibarra tambien #VamosPorElCambio https://t.co/DCK4uCwNw0
Guillermo_Lasso,01/19/2017,153.0,140.0,Impulsaremos la Ley del Primer Emprendimiento para que los jovenes puedan capitalizar sus negocios. https://t.co/5pc5Bmzn4i
